分类,分类地址,职称,姓名,个人主页,备注
学院领导,http://yyxy.neau.edu.cn/szdw/xyld.htm,书记,王豫龙,,
学院领导,http://yyxy.neau.edu.cn/szdw/xyld.htm,院长,王傲雪,http://yyxy.neau.edu.cn/info/1107/1623.htm,教授、博导
学院领导,http://yyxy.neau.edu.cn/szdw/xyld.htm,副书记,杨楠,,
学院领导,http://yyxy.neau.edu.cn/szdw/xyld.htm,副院长,王辉兰,http://yyxy.neau.edu.cn/info/1087/1660.htm,
学院领导,http://yyxy.neau.edu.cn/szdw/xyld.htm,副院长,闫永庆,http://yyxy.neau.edu.cn/info/1087/1138.htm,教授、硕导
学院领导,http://yyxy.neau.edu.cn/szdw/xyld.htm,副院长,潘凯,http://yyxy.neau.edu.cn/info/1087/1139.htm,教授、博导
党政办公室,http://yyxy.neau.edu.cn/szdw/lb.htm,办公室主任,王朋瑾,http://yyxy.neau.edu.cn/info/1089/1140.htm,
党政办公室,http://yyxy.neau.edu.cn/szdw/lb.htm,两办党支部书记,马鸿艳,http://yyxy.neau.edu.cn/info/1089/1141.htm,
党政办公室,http://yyxy.neau.edu.cn/szdw/lb.htm,办公室副主任,杜黎黎,http://yyxy.neau.edu.cn/info/1089/1420.htm,
党政办公室,http://yyxy.neau.edu.cn/szdw/lb.htm, , ,,
教务科,http://yyxy.neau.edu.cn/szdw/jwk.htm,教务科主任,张莉莉,http://yyxy.neau.edu.cn/info/1090/1145.htm,
教务科,http://yyxy.neau.edu.cn/szdw/jwk.htm,教务科主任科员,纪雪岩,http://yyxy.neau.edu.cn/info/1090/1146.htm,
辅导员办公室,http://yyxy.neau.edu.cn/szdw/fdybgs.htm,辅导员,焦阳,http://yyxy.neau.edu.cn/info/1104/1469.htm,
辅导员办公室,http://yyxy.neau.edu.cn/szdw/fdybgs.htm,辅导员,安美忱,http://yyxy.neau.edu.cn/info/1104/1325.htm,团委书记
辅导员办公室,http://yyxy.neau.edu.cn/szdw/fdybgs.htm,辅导员,关彦来,http://yyxy.neau.edu.cn/info/1104/1324.htm,
辅导员办公室,http://yyxy.neau.edu.cn/szdw/fdybgs.htm,辅导员,张杨,http://yyxy.neau.edu.cn/info/1104/1468.htm,
辅导员办公室,http://yyxy.neau.edu.cn/szdw/fdybgs.htm,辅导员,孙明艳,http://yyxy.neau.edu.cn/info/1104/1467.htm,
重点实验室,http://yyxy.neau.edu.cn/szdw/zdsys.htm,主任,栾非时,http://yyxy.neau.edu.cn/info/1087/1135.htm,教授、博导
重点实验室,http://yyxy.neau.edu.cn/szdw/zdsys.htm,副主任,刘宏宇,http://yyxy.neau.edu.cn/info/1092/1176.htm,副研究员、硕导
重点实验室,http://yyxy.neau.edu.cn/szdw/zdsys.htm,副主任,武涛,http://yyxy.neau.edu.cn/info/1092/1437.htm,副教授、硕导
重点实验室,http://yyxy.neau.edu.cn/szdw/zdsys.htm,平台实验室实验员,杜亚琳,http://yyxy.neau.edu.cn/info/1105/1326.htm,
